ACCOUNT_ID,CUSTOMER_ID,BRANCH_ID,OPENING_BALANCE,ACCOUNT_OPEN_DATE,ACCOUNT_TYPE,ACCOUNT_STATUS
A00039,C00039,B00014,294384,2017-07-05,Savings,Pending
A00040,C00040,B00027,938979,2018-12-11,Savings,Active
A00041,C00041,B00010,390401,2023-02-22,Checking,Closed
A00042,C00042,B00031,101696,2014-12-11,Savings,Pending
A00043,C00043,B00038,813986,2015-06-08,Fixed Deposit,Closed
A00044,C00044,B00034,760924,2017-10-10,Checking,Pending
A00045,C00045,B00031,81828,2020-03-15,Checking,Pending
A00046,C00046,B00028,144895,2015-03-06,Checking,Pending
A00047,C00047,B00040,191792,2019-01-09,Fixed Deposit,Pending
A00048,C00048,B00028,404485,2020-01-20,Checking,Active
A00049,C00049,B00014,453712,2023-04-01,Fixed Deposit,Closed
A00050,C00050,B00030,826948,2014-07-22,Savings,Closed
A00051,C00051,B00039,858092,2013-11-02,Checking,Closed
A00052,C00052,B00049,593119,2021-02-25,Savings,Pending
A00053,C00053,B00049,931366,2017-05-12,Checking,Pending
A00054,C00054,B00043,498802,2023-04-16,Savings,Closed
A00055,C00055,B00016,91922,2023-04-22,Fixed Deposit,Closed
A00056,C00056,B00044,70339,2019-09-13,Fixed Deposit,Pending
A00057,C00057,B00011,752521,2020-11-02,Checking,Active
A00058,C00058,B00007,366794,2019-05-17,Savings,Closed
A00059,C00059,B00009,49601,2020-01-03,Checking,Closed
A00060,C00060,B00011,516505,2023-08-19,Fixed Deposit,Active
A00061,C00061,B00023,479249,2020-06-15,Fixed Deposit,Closed
A00062,C00062,B00016,415804,2021-09-30,Fixed Deposit,Closed
A00063,C00063,B00034,516710,2022-08-02,Checking,Pending
A00064,C00064,B00031,315703,2016-09-22,Checking,Pending
A00065,C00065,B00016,933345,2015-02-13,Checking,Active
A00066,C00066,B00013,220777,2020-12-10,Savings,Closed
A00067,C00067,B00006,245336,2021-01-18,Checking,Closed
A00068,C00068,B00004,785995,2022-02-22,Fixed Deposit,Closed
A00069,C00069,B00041,124492,2014-08-14,Checking,Active
A00070,C00070,B00045,870027,2023-05-29,Checking,Pending
A00071,C00071,B00027,398391,2020-06-21,Fixed Deposit,Closed
A00072,C00072,B00034,637720,2019-10-02,Fixed Deposit,Pending
A00073,C00073,B00049,733973,2018-03-31,Fixed Deposit,Active
A00074,C00074,B00040,387722,2017-11-09,Fixed Deposit,Pending
A00075,C00075,B00021,203850,2016-09-26,Savings,Pending
A00076,C00076,B00040,768404,2016-01-29,Fixed Deposit,Closed
A00077,C00077,B00015,956096,2019-02-26,Fixed Deposit,Closed
A00078,C00078,B00029,257401,2020-07-17,Savings,Pending
A00079,C00079,B00034,647903,2017-05-28,Savings,Pending
A00080,C00080,B00009,679126,2019-07-18,Checking,Pending
A00081,C00081,B00029,994991,2019-12-03,Savings,Active
A00082,C00082,B00035,492186,2016-02-17,Savings,Pending
A00083,C00083,B00034,282157,2018-03-26,Savings,Closed
A00084,C00084,B00014,655754,2019-10-28,Savings,Active
A00085,C00085,B00021,837481,2014-05-01,Checking,Closed
A00086,C00086,B00036,932046,2014-12-02,Savings,Active
A00087,C00087,B00006,443491,2019-03-03,Savings,Closed
A00088,C00088,B00042,960226,2019-02-04,Checking,Active
A00089,C00089,B00014,371570,2016-07-25,Checking,Active
A00090,C00090,B00022,153655,2022-12-21,Fixed Deposit,Active
A00091,C00091,B00021,213052,2017-08-11,Savings,Pending
A00092,C00092,B00005,171207,2017-02-02,Savings,Pending
A00093,C00093,B00003,438099,2014-03-22,Savings,Closed
A00094,C00094,B00005,103607,2018-09-14,Fixed Deposit,Active
A00095,C00095,B00010,872758,2019-06-21,Checking,Active
A00096,C00096,B00011,799428,2014-10-03,Savings,Active
A00097,C00097,B00018,466371,2016-12-21,Fixed Deposit,Active
A00098,C00098,B00041,147299,2016-01-13,Savings,Active
A00099,C00099,B00041,618928,2016-08-15,Checking,Pending
A00100,C00100,B00001,893347,2021-01-06,Checking,Active
A00101,C00101,B00026,707603,2017-01-12,Checking,Active
A00102,C00102,B00015,875477,2021-04-09,Savings,Pending
A00103,C00103,B00044,463838,2019-10-24,Checking,Pending
A00104,C00104,B00012,313146,2015-01-27,Fixed Deposit,Closed
A00105,C00105,B00016,526586,2016-11-05,Fixed Deposit,Closed
A00106,C00106,B00042,427176,2020-07-27,Fixed Deposit,Closed
A00107,C00107,B00001,291653,2017-10-05,Savings,Pending
A00108,C00108,B00039,554098,2023-08-23,Checking,Closed
A00109,C00109,B00037,753593,2017-09-26,Checking,Pending
A00110,C00110,B00050,34274,2022-10-18,Fixed Deposit,Pending
A00111,C00111,B00006,495976,2014-05-13,Savings,Closed
A00112,C00112,B00011,416462,2015-11-19,Fixed Deposit,Pending
A00113,C00113,B00029,770946,2022-01-17,Checking,Closed
A00114,C00114,B00014,852435,2019-06-26,Checking,Closed
A00115,C00115,B00008,154134,2019-09-02,Checking,Active
A00116,C00116,B00022,514112,2016-09-05,Fixed Deposit,Closed
A00117,C00117,B00018,351561,2018-05-07,Savings,Active
A00118,C00118,B00006,328927,2020-10-13,Checking,Active
A00119,C00119,B00012,976353,2019-08-20,Savings,Pending
A00120,C00120,B00001,293049,2018-02-22,Fixed Deposit,Closed
A00121,C00121,B00041,95547,2017-02-09,Savings,Closed
A00122,C00122,B00021,323840,2016-03-25,Checking,Closed
A00123,C00123,B00028,319971,2020-06-23,Savings,Closed
A00124,C00124,B00042,102064,2022-07-02,Checking,Closed
A00125,C00125,B00028,461197,2019-07-18,Fixed Deposit,Active
A00126,C00126,B00021,900462,2023-02-07,Savings,Pending
A00127,C00127,B00018,15103,2016-12-04,Checking,Pending
A00128,C00128,B00022,216947,2016-11-16,Fixed Deposit,Closed
A00129,C00129,B00035,828026,2017-04-13,Checking,Closed
A00130,C00130,B00047,775498,2016-05-19,Savings,Active
A00131,C00131,B00038,813369,2017-07-11,Savings,Closed
A00132,C00132,B00021,9787,2023-07-15,Checking,Closed
A00133,C00133,B00028,570802,2019-05-21,Fixed Deposit,Active
A00134,C00134,B00015,56978,2022-12-18,Checking,Active
A00135,C00135,B00024,530344,2015-10-24,Fixed Deposit,Closed
A00136,C00136,B00005,35391,2021-08-07,Checking,Closed
A00137,C00137,B00008,966519,2017-12-10,Savings,Closed
A00138,C00138,B00002,661272,2023-07-07,Fixed Deposit,Active
A00139,C00139,B00007,659335,2020-08-02,Fixed Deposit,Pending
A00140,C00140,B00023,337156,2020-01-28,Fixed Deposit,Closed
A00141,C00141,B00048,530202,2021-12-15,Savings,Pending
A00142,C00142,B00010,71869,2022-06-12,Fixed Deposit,Pending
A00143,C00143,B00034,464791,2019-06-14,Savings,Active
A00144,C00144,B00006,757563,2015-04-05,Checking,Pending
A00145,C00145,B00016,58571,2018-07-05,Fixed Deposit,Closed
A00146,C00146,B00048,312065,2016-01-09,Fixed Deposit,Closed
A00147,C00147,B00012,568672,2016-08-25,Savings,Closed
A00148,C00148,B00010,433212,2019-05-24,Fixed Deposit,Closed
A00149,C00149,B00030,8446,2014-04-27,Savings,Active
A00150,C00150,B00023,293553,2017-04-30,Checking,Active
A00151,C00151,B00038,675178,2022-10-08,Savings,Active
A00152,C00152,B00040,656860,2019-10-26,Checking,Pending
A00153,C00153,B00032,857075,2018-10-23,Checking,Closed
A00154,C00154,B00015,562999,2021-07-22,Checking,Pending
A00155,C00155,B00047,702997,2014-10-10,Checking,Closed
A00156,C00156,B00021,266689,2018-07-19,Checking,Pending
A00157,C00157,B00014,262643,2018-03-24,Fixed Deposit,Pending
A00158,C00158,B00037,196457,2015-10-13,Savings,Closed
A00159,C00159,B00018,145143,2016-07-10,Savings,Pending
A00160,C00160,B00035,329074,2020-03-14,Fixed Deposit,Active
A00161,C00161,B00049,104184,2020-05-02,Savings,Active
A00162,C00162,B00048,588831,2017-02-11,Fixed Deposit,Active
A00163,C00163,B00048,972664,2017-01-06,Fixed Deposit,Pending
A00164,C00164,B00011,657761,2020-06-21,Checking,Active
A00165,C00165,B00002,952997,2020-06-05,Fixed Deposit,Active
A00166,C00166,B00010,640449,2022-06-06,Fixed Deposit,Pending
A00167,C00167,B00043,668664,2017-05-14,Fixed Deposit,Active
A00168,C00168,B00027,942698,2017-01-03,Fixed Deposit,Active
A00169,C00169,B00016,949502,2017-11-10,Checking,Active
A00170,C00170,B00031,230532,2014-12-05,Savings,Closed
A00171,C00171,B00024,842603,2018-01-08,Savings,Pending
A00172,C00172,B00009,737539,2020-09-05,Fixed Deposit,Pending
A00173,C00173,B00040,11207,2019-03-16,Checking,Closed
A00174,C00174,B00025,911447,2022-08-30,Fixed Deposit,Closed
A00175,C00175,B00012,792562,2023-08-23,Savings,Closed
A00176,C00176,B00003,834159,2019-09-12,Savings,Closed
A00177,C00177,B00028,443687,2015-01-29,Savings,Active
A00178,C00178,B00028,679247,2016-01-18,Savings,Closed
A00179,C00179,B00007,698003,2023-05-23,Savings,Closed
A00180,C00180,B00032,19304,2021-02-06,Savings,Closed
A00181,C00181,B00034,955732,2021-09-29,Checking,Pending
A00182,C00182,B00039,21952,2015-03-14,Savings,Active
A00183,C00183,B00045,45750,2020-11-15,Checking,Active
A00184,C00184,B00019,268467,2023-01-06,Fixed Deposit,Active
A00185,C00185,B00044,554294,2017-08-31,Fixed Deposit,Pending
A00186,C00186,B00039,374107,2016-06-11,Fixed Deposit,Active
A00187,C00187,B00017,457549,2022-07-02,Checking,Pending
A00188,C00188,B00010,156176,2017-01-29,Savings,Pending
A00189,C00189,B00007,178043,2023-03-18,Fixed Deposit,Pending
A00190,C00190,B00036,787488,2014-10-07,Checking,Closed
A00191,C00191,B00013,817062,2018-01-14,Checking,Pending
A00192,C00192,B00006,167752,2019-09-19,Fixed Deposit,Active
A00193,C00193,B00012,721200,2021-04-28,Checking,Pending
A00194,C00194,B00029,580036,2023-06-24,Fixed Deposit,Active
A00195,C00195,B00002,631265,2015-01-15,Fixed Deposit,Closed
A00196,C00196,B00044,278755,2015-11-13,Fixed Deposit,Active
A00197,C00197,B00040,14874,2014-11-24,Checking,Pending
A00198,C00198,B00044,195640,2020-04-25,Fixed Deposit,Closed
A00199,C00199,B00011,401710,2022-03-20,Checking,Pending
A00200,C00200,B00018,400413,2016-03-02,Fixed Deposit,Active
A00201,C00201,B00048,833395,2015-04-26,Fixed Deposit,Pending
A00202,C00202,B00043,166122,2019-05-15,Checking,Closed
A00203,C00203,B00033,362191,2018-07-11,Savings,Pending
A00204,C00204,B00022,405348,2014-12-21,Savings,Pending
A00205,C00205,B00026,86815,2019-01-14,Savings,Closed
A00206,C00206,B00014,454874,2015-09-30,Checking,Closed
A00207,C00207,B00044,116396,2013-12-29,Checking,Closed
A00208,C00208,B00040,645931,2019-06-26,Checking,Closed
A00209,C00209,B00026,325165,2021-02-01,Fixed Deposit,Pending
A00210,C00210,B00013,326713,2021-08-07,Savings,Active
A00211,C00211,B00042,51077,2017-08-21,Savings,Pending
A00212,C00212,B00020,479626,2017-02-07,Checking,Active
A00213,C00213,B00001,586371,2015-04-12,Savings,Pending
A00214,C00214,B00028,71011,2018-04-15,Savings,Closed
A00215,C00215,B00036,687086,2022-05-29,Fixed Deposit,Pending
A00216,C00216,B00022,24556,2019-08-09,Checking,Closed
A00217,C00217,B00014,242929,2019-09-28,Savings,Active
A00218,C00218,B00017,41859,2023-02-27,Checking,Closed
A00219,C00219,B00017,467499,2022-03-27,Fixed Deposit,Pending
A00220,C00220,B00030,339159,2020-05-20,Fixed Deposit,Pending
A00221,C00221,B00028,78117,2016-04-06,Checking,Pending
A00222,C00222,B00029,984110,2022-02-26,Fixed Deposit,Active
A00223,C00223,B00020,243489,2023-07-29,Checking,Pending
A00224,C00224,B00014,188865,2019-06-04,Checking,Pending
A00225,C00225,B00029,678696,2021-09-11,Savings,Pending
A00226,C00226,B00046,805528,2013-12-13,Fixed Deposit,Active
A00227,C00227,B00046,858269,2021-03-07,Checking,Closed
A00228,C00228,B00010,415783,2020-07-16,Checking,Active
A00229,C00229,B00003,109033,2020-08-07,Checking,Closed
A00230,C00230,B00035,245883,2018-01-25,Savings,Pending
A00231,C00231,B00023,71326,2022-06-30,Checking,Pending
A00232,C00232,B00006,234764,2019-01-02,Checking,Pending
A00233,C00233,B00034,848683,2020-10-08,Savings,Pending
A00234,C00234,B00024,669364,2018-06-22,Checking,Closed
A00235,C00235,B00011,481806,2014-02-28,Fixed Deposit,Closed
A00236,C00236,B00012,499031,2014-11-25,Savings,Active
A00237,C00237,B00023,106588,2016-09-14,Fixed Deposit,Active
A00238,C00238,B00049,416796,2018-03-11,Fixed Deposit,Active
A00239,C00239,B00005,852699,2023-06-02,Savings,Closed
A00240,C00240,B00037,598670,2015-11-09,Savings,Closed
A00241,C00241,B00038,526869,2015-11-03,Fixed Deposit,Closed
A00242,C00242,B00014,661204,2014-05-10,Savings,Pending
A00243,C00243,B00022,362071,2015-10-25,Checking,Active
A00244,C00244,B00001,152591,2015-10-11,Fixed Deposit,Pending
A00245,C00245,B00044,897929,2019-10-21,Fixed Deposit,Pending
A00246,C00246,B00039,121559,2016-04-03,Checking,Pending
A00247,C00247,B00035,192287,2018-03-09,Savings,Closed
A00248,C00248,B00040,269573,2023-03-14,Fixed Deposit,Active
A00249,C00249,B00009,158901,2015-03-22,Checking,Active
A00250,C00250,B00046,340864,2022-11-19,Savings,Pending
A00251,C00251,B00021,738035,2015-07-04,Fixed Deposit,Closed
A00252,C00252,B00040,859750,2023-07-23,Checking,Active
A00253,C00253,B00023,891944,2023-08-15,Fixed Deposit,Active
A00254,C00254,B00021,97444,2019-05-09,Fixed Deposit,Pending
A00255,C00255,B00019,566682,2017-08-02,Checking,Closed
A00256,C00256,B00036,637673,2020-11-03,Fixed Deposit,Closed
A00257,C00257,B00020,807162,2016-02-17,Savings,Closed
A00258,C00258,B00043,355718,2020-03-14,Savings,Active
A00259,C00259,B00005,900209,2015-04-25,Fixed Deposit,Pending
A00260,C00260,B00011,809463,2020-07-06,Fixed Deposit,Active
A00261,C00261,B00023,156624,2016-05-28,Savings,Pending
A00262,C00262,B00009,979577,2016-06-10,Checking,Closed
A00263,C00263,B00046,682823,2018-01-13,Checking,Closed
A00264,C00264,B00050,81593,2015-05-24,Savings,Active
A00265,C00265,B00026,879042,2016-10-14,Fixed Deposit,Pending
A00266,C00266,B00050,705103,2023-04-28,Savings,Closed
A00267,C00267,B00039,822941,2022-03-10,Savings,Pending
A00268,C00268,B00024,394092,2019-08-15,Fixed Deposit,Closed
A00269,C00269,B00036,653933,2016-01-29,Checking,Closed
A00270,C00270,B00039,835366,2018-06-23,Checking,Pending
A00271,C00271,B00030,417525,2021-07-24,Fixed Deposit,Closed
A00272,C00272,B00019,648970,2023-02-20,Fixed Deposit,Active
A00273,C00273,B00049,26323,2016-03-18,Checking,Pending
A00274,C00274,B00046,474178,2020-01-16,Fixed Deposit,Closed
A00275,C00275,B00035,365305,2017-11-18,Checking,Pending
A00276,C00276,B00039,974692,2015-02-03,Checking,Pending
A00277,C00277,B00022,885758,2018-10-21,Savings,Closed
A00278,C00278,B00045,994503,2019-05-30,Checking,Closed
A00279,C00279,B00014,418305,2020-05-09,Fixed Deposit,Closed
A00280,C00280,B00036,524522,2016-09-22,Checking,Pending
A00281,C00281,B00033,473633,2022-07-12,Checking,Closed
A00282,C00282,B00021,612499,2023-06-30,Fixed Deposit,Pending
A00283,C00283,B00005,330462,2014-02-24,Checking,Closed
A00284,C00284,B00037,141538,2016-11-04,Fixed Deposit,Active
A00285,C00285,B00026,733165,2016-12-07,Fixed Deposit,Closed
A00286,C00286,B00044,872833,2016-09-07,Checking,Pending
A00287,C00287,B00001,58477,2016-01-11,Savings,Pending
A00288,C00288,B00001,392998,2013-12-08,Checking,Active
A00289,C00289,B00001,289122,2021-05-24,Fixed Deposit,Active
A00290,C00290,B00050,751133,2018-01-04,Checking,Closed
A00291,C00291,B00030,494519,2016-05-22,Savings,Pending
A00292,C00292,B00031,759007,2019-03-31,Checking,Pending
A00293,C00293,B00026,378086,2016-06-26,Savings,Pending
A00294,C00294,B00027,484139,2021-04-26,Fixed Deposit,Closed
A00295,C00295,B00046,743058,2021-09-10,Checking,Closed
A00296,C00296,B00046,576389,2021-06-25,Checking,Pending
A00297,C00297,B00017,477237,2019-03-15,Savings,Closed
A00298,C00298,B00002,200630,2017-06-22,Savings,Pending
A00299,C00299,B00005,576542,2014-09-29,Checking,Closed
A00300,C00300,B00033,406898,2023-05-04,Savings,Active
A00301,C00301,B00034,199880,2015-02-16,Savings,Pending
A00302,C00302,B00030,162835,2015-01-21,Checking,Closed
A00303,C00303,B00047,51898,2017-03-27,Fixed Deposit,Pending
A00304,C00304,B00015,840114,2015-05-03,Savings,Pending
A00305,C00305,B00041,141020,2022-09-25,Checking,Pending
A00306,C00306,B00014,920841,2020-05-13,Fixed Deposit,Closed
A00307,C00307,B00005,432614,2018-09-08,Fixed Deposit,Closed
A00308,C00308,B00008,845965,2015-12-14,Fixed Deposit,Active
A00309,C00309,B00002,979268,2021-04-27,Fixed Deposit,Active
A00310,C00310,B00020,887862,2015-09-09,Checking,Pending
A00311,C00311,B00018,6798,2014-01-25,Fixed Deposit,Closed
A00312,C00312,B00002,603528,2014-03-31,Fixed Deposit,Active
A00313,C00313,B00011,678883,2014-08-15,Savings,Active
A00314,C00314,B00039,843512,2021-02-28,Savings,Pending
A00315,C00315,B00012,634210,2022-09-24,Fixed Deposit,Pending
A00316,C00316,B00048,859689,2023-03-07,Fixed Deposit,Active
A00317,C00317,B00049,491971,2022-07-29,Checking,Closed
A00318,C00318,B00045,983527,2022-12-08,Fixed Deposit,Pending
A00319,C00319,B00034,24549,2021-11-17,Fixed Deposit,Closed
A00320,C00320,B00005,768913,2021-01-04,Fixed Deposit,Closed
A00321,C00321,B00050,533101,2019-10-24,Checking,Pending
A00322,C00322,B00006,854125,2023-04-13,Checking,Active
A00323,C00323,B00031,666532,2017-06-07,Savings,Closed
A00324,C00324,B00039,215561,2019-04-07,Checking,Active
A00325,C00325,B00020,157963,2016-03-17,Checking,Closed
A00326,C00326,B00017,693127,2019-04-08,Checking,Pending
A00327,C00327,B00021,774378,2014-02-23,Fixed Deposit,Active
A00328,C00328,B00019,64107,2020-09-19,Savings,Pending
A00329,C00329,B00040,414119,2015-11-03,Checking,Pending
A00330,C00330,B00013,492934,2017-07-24,Fixed Deposit,Closed
A00331,C00331,B00032,135803,2020-08-22,Checking,Active
A00332,C00332,B00035,826025,2017-03-15,Savings,Pending
A00333,C00333,B00038,204782,2020-06-20,Fixed Deposit,Closed
A00334,C00334,B00043,821551,2019-11-04,Checking,Pending
A00335,C00335,B00020,465486,2019-08-26,Savings,Pending
A00336,C00336,B00034,144970,2016-10-17,Savings,Pending
A00337,C00337,B00016,710022,2016-05-02,Fixed Deposit,Closed
A00338,C00338,B00050,398813,2021-03-23,Checking,Pending
A00339,C00339,B00049,242411,2015-09-03,Fixed Deposit,Pending
A00340,C00340,B00030,349405,2016-07-31,Checking,Active
A00341,C00341,B00049,248852,2020-01-05,Fixed Deposit,Closed
A00342,C00342,B00029,690295,2019-08-03,Fixed Deposit,Active
A00343,C00343,B00004,164121,2020-06-23,Fixed Deposit,Active
A00344,C00344,B00023,771558,2020-03-04,Savings,Active
A00345,C00345,B00036,496668,2016-09-15,Fixed Deposit,Pending
A00346,C00346,B00046,62568,2018-12-12,Savings,Closed
A00347,C00347,B00045,18357,2016-02-12,Savings,Pending
A00348,C00348,B00046,684048,2022-10-09,Savings,Closed
A00349,C00349,B00009,155708,2020-03-31,Fixed Deposit,Active
A00350,C00350,B00044,621760,2014-09-03,Savings,Closed
A00351,C00351,B00012,405821,2020-10-07,Fixed Deposit,Closed
A00352,C00352,B00031,118699,2015-01-07,Fixed Deposit,Closed
A00353,C00353,B00016,670170,2019-06-11,Savings,Closed
A00354,C00354,B00016,893021,2021-12-28,Checking,Closed
A00355,C00355,B00020,801971,2018-11-02,Savings,Pending
A00356,C00356,B00001,979104,2023-06-26,Checking,Pending
A00357,C00357,B00026,598400,2021-04-26,Fixed Deposit,Closed
A00358,C00358,B00029,881596,2020-11-10,Fixed Deposit,Closed
A00359,C00359,B00042,903364,2021-10-28,Savings,Active
A00360,C00360,B00040,653420,2015-05-28,Checking,Closed
A00361,C00361,B00048,604814,2019-01-29,Checking,Pending
A00362,C00362,B00024,708114,2015-01-15,Savings,Active
A00363,C00363,B00046,175119,2018-10-07,Fixed Deposit,Closed
A00364,C00364,B00036,485100,2019-08-08,Savings,Pending
A00365,C00365,B00021,812922,2016-08-18,Checking,Closed
A00366,C00366,B00007,268621,2016-02-04,Savings,Pending
A00367,C00367,B00024,457866,2018-01-07,Savings,Closed
A00368,C00368,B00047,821844,2023-08-11,Fixed Deposit,Pending
A00369,C00369,B00040,573780,2015-06-11,Fixed Deposit,Closed
A00370,C00370,B00026,512235,2017-06-22,Checking,Active
A00371,C00371,B00041,452958,2022-08-27,Savings,Pending
A00372,C00372,B00020,442982,2019-04-23,Savings,Active
A00373,C00373,B00026,403875,2014-02-25,Savings,Active
A00374,C00374,B00034,119785,2015-06-28,Checking,Active
A00375,C00375,B00023,992958,2019-08-04,Savings,Closed
A00376,C00376,B00041,655456,2014-03-06,Savings,Closed
A00377,C00377,B00005,390448,2019-05-13,Checking,Pending
A00378,C00378,B00046,507038,2022-12-04,Checking,Closed
A00379,C00379,B00018,133792,2015-12-19,Savings,Closed
A00380,C00380,B00036,122739,2023-06-06,Savings,Closed
A00381,C00381,B00039,259085,2021-08-15,Fixed Deposit,Pending
A00382,C00382,B00045,545098,2020-11-02,Savings,Pending
A00383,C00383,B00006,367499,2018-07-17,Savings,Active
A00384,C00384,B00047,924792,2022-05-23,Fixed Deposit,Pending
A00385,C00385,B00047,227485,2014-01-19,Savings,Active
A00386,C00386,B00004,697101,2016-09-06,Checking,Pending
A00387,C00387,B00015,810794,2019-07-28,Fixed Deposit,Closed
A00388,C00388,B00002,401489,2022-04-18,Savings,Pending
A00389,C00389,B00031,916760,2020-06-04,Savings,Closed
A00390,C00390,B00038,827332,2018-07-23,Savings,Active
A00391,C00391,B00026,153169,2017-06-08,Fixed Deposit,Closed
A00392,C00392,B00008,221941,2013-12-30,Fixed Deposit,Closed
A00393,C00393,B00042,724286,2023-07-09,Savings,Pending
A00394,C00394,B00036,1171,2016-06-24,Checking,Closed
A00395,C00395,B00049,184822,2018-06-06,Checking,Pending
A00396,C00396,B00007,664925,2018-12-02,Checking,Closed
A00397,C00397,B00027,594634,2019-07-28,Checking,Pending
A00398,C00398,B00025,247562,2021-02-19,Fixed Deposit,Closed
A00399,C00399,B00041,196745,2022-11-06,Savings,Closed
A00400,C00400,B00024,434103,2017-08-31,Checking,Active
A00401,C00401,B00016,543320,2015-06-05,Savings,Closed
A00402,C00402,B00009,503829,2016-10-14,Fixed Deposit,Closed
A00403,C00403,B00050,302967,2016-07-25,Savings,Active
A00404,C00404,B00005,803933,2014-03-21,Fixed Deposit,Closed
A00405,C00405,B00002,472769,2014-10-28,Fixed Deposit,Active
A00406,C00406,B00028,432496,2015-11-13,Savings,Closed
A00407,C00407,B00044,496425,2016-01-08,Savings,Pending
A00408,C00408,B00043,400571,2019-05-19,Savings,Active
A00409,C00409,B00027,612266,2020-03-31,Savings,Pending
A00410,C00410,B00029,75011,2022-04-16,Checking,Active
A00411,C00411,B00036,51072,2016-04-03,Checking,Pending
A00412,C00412,B00013,872501,2018-05-22,Savings,Active
A00413,C00413,B00014,379445,2022-06-14,Checking,Closed
A00414,C00414,B00011,187400,2015-01-26,Fixed Deposit,Pending
A00415,C00415,B00041,834123,2020-01-13,Savings,Closed
A00416,C00416,B00005,13353,2020-11-23,Savings,Active
A00417,C00417,B00019,228976,2015-04-20,Savings,Closed
A00418,C00418,B00009,577307,2022-10-23,Checking,Active
A00419,C00419,B00010,335950,2022-10-30,Fixed Deposit,Closed
A00420,C00420,B00044,412044,2016-01-12,Savings,Closed
A00421,C00421,B00006,802455,2019-07-22,Checking,Pending
A00422,C00422,B00030,666327,2016-12-21,Fixed Deposit,Active
A00423,C00423,B00028,195391,2015-10-12,Checking,Closed
A00424,C00424,B00021,591400,2020-01-19,Savings,Pending
A00425,C00425,B00033,196933,2017-04-15,Savings,Closed
A00426,C00426,B00028,387167,2015-05-10,Checking,Closed
A00427,C00427,B00027,90352,2022-06-30,Savings,Closed
A00428,C00428,B00006,490257,2016-03-28,Savings,Pending
A00429,C00429,B00045,467112,2014-05-11,Savings,Active
A00430,C00430,B00011,551450,2017-11-16,Fixed Deposit,Closed
A00431,C00431,B00007,270285,2015-10-25,Fixed Deposit,Pending
A00432,C00432,B00008,873641,2017-01-29,Checking,Closed
A00433,C00433,B00025,547997,2017-09-07,Fixed Deposit,Active
A00434,C00434,B00018,298806,2015-07-25,Checking,Pending
A00435,C00435,B00038,96293,2014-10-15,Fixed Deposit,Pending
A00436,C00436,B00003,934751,2023-01-13,Savings,Pending
A00437,C00437,B00017,778930,2020-04-30,Checking,Active
A00438,C00438,B00036,291028,2022-08-28,Savings,Active
A00439,C00439,B00018,48752,2021-09-11,Savings,Closed
A00440,C00440,B00021,784386,2020-01-14,Fixed Deposit,Pending
